strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
ROU/412085/2021	2021-04-26	5.00	21A (Delta)	Romania		Romania	B.1.617.2 (Delta)	202117	MZ068219	Homo sapiens	B.1.617.2	Older	Europe		Fejer et al				
IND/GBRC788/2021	2021-05-14	8.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ402742	Homo sapiens	B.1.617.2	Older	Asia		Kumar et al A				
IND/CWS_0087_52495677/2021	2021-06-01	4.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202122	MZ572202	Homo sapiens	AY.17	Older	Asia		Sawant et al A				
UZB/UZB-331/2021	2021-06-25	7.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573297	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al B				-14.05
IND/GBRC742/2021	2021-04-28	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ363891	Homo sapiens	B.1.617.2	Older	Asia		Raval et al B				
IND/GBRC798/2021	2021-05-09	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ411498	Homo sapiens	B.1.617.2	Older	Asia		Raval et al C				
IND/GBRC781/2021	2021-05-11	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ402605	Homo sapiens	B.1.617.2	Older	Asia		Kumar et al B				
IND/GBRC778/2021	2021-05-08	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202118	MZ402501	Homo sapiens	B.1.617.2	Older	Asia		Raval et al D				
USA/AK-PHL10638/2021	2021-07-15	7.00	21A (Delta)	USA	0.00	Alaska	B.1.617.2 (Delta)	202128	MZ812857	Homo sapiens	AY.15	One month ago	North America		DeRonde et al B				-14.05
USA/UT-UPHL-210823343476/2021	2021-08-08	8.00	21A (Delta)	USA	0.01	Utah	B.1.617.2 (Delta)	202132	MZ916845	Homo sapiens	B.1.617.2	3-7 days ago	North America		Linares et al				-14.05
USA/TX-CDC-QDX27168947/2021	2021-07-24	7.00	21A (Delta)	USA	0.00	Texas	B.1.617.2 (Delta)	202129	MZ796286	Homo sapiens	AY.14	One month ago	North America		Howard et al AI				-14.05
USA/WY-CDC-IBX897822250496/2021	2021-07-10	7.00	21A (Delta)	USA	0.00	Wyoming	B.1.617.2 (Delta)	202127	MZ648989	Homo sapiens	AY.14	Older	North America		Howard et al AJ				-14.05
USA/NJ-CDC-LC0158194/2021	2021-08-03	7.00	21A (Delta)	USA	0.00	New Jersey	B.1.617.2 (Delta)	202131	MZ886692	Homo sapiens	AY.14	One week ago	North America		Howard et al AK				-14.05
IND/GBRC777/2021	2021-05-14	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ402505	Homo sapiens	B.1.617.2	Older	Asia		Pandit et al A				
BGD/icddrb-CGH-CU-3261/2021	2021-06-02	7.00	21A (Delta)	Bangladesh		Chattogram	B.1.617.2 (Delta)	202122	MZ674361	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al A				
IND/CWS_0048_54463391/2021	2021-06-08	5.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202123	MZ558130	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al B				
IND/CWS_0047_54463387/2021	2021-06-08	5.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202123	MZ558129	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al C				
BGD/icddrb-CGH-CU-3791/2021	2021-07-01	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202126	MZ674363	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al B				-14.05
BGD/IEDCR-OIS-0183/2021	2021-06-07	7.00	21A (Delta)	Bangladesh		Chattogram	B.1.617.2 (Delta)	202123	MZ481913	Homo sapiens	AY.10	Older	Asia		Afrad et al R				
BGD/IEDCR-OIS-209/2021	2021-06-21	7.00	21A (Delta)	Bangladesh	0.00	Dhaka	B.1.617.2 (Delta)	202125	MZ481914	Homo sapiens	AY.10	Older	Asia		Afrad et al S				-14.05
IND/GBRC776/2021	2021-05-15	9.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ402507	Homo sapiens	B.1.617.2	Older	Asia		Saiyed et al A				
BGD/icddrb-CMOSH-CU-0025C/2021	2021-07-04	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202127	MZ674370	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al C				-14.05
OU569207	2021-07-22	8.00	21A (Delta)	Germany	0.00	North Rhine Westphalia	B.1.617.2 (Delta)	202129	OU569207	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				-14.05
USA/NJ-CDC-LC0110937/2021	2021-07-15	7.00	21A (Delta)	USA	0.00	New Jersey	B.1.617.2 (Delta)	202128	MZ784902	Homo sapiens	AY.13	One month ago	North America		Howard et al AL				-14.05
IND/GBRC793a/2021	2021-04-29	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ410767	Homo sapiens	B.1.617.2	Older	Asia		Raval et al E				
IND/GBRC1228/2021	2021-06-05	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202122	MZ702543	Homo sapiens	B.1.617.2	One month ago	Asia		Kumar et al C				
BHR/921069388/2021	2021-06-26	7.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620584	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al E				-14.05
BHR/342314057/2021	2021-06-26	7.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620632	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al F				-14.05
IND/CWS_0121_55485557/2021	2021-06-11	6.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202123	MZ572221	Homo sapiens	B.1.617.2	Older	Asia		Agarwal et al A				
IND/CWS_0120_56288220/2021	2021-06-14	6.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202124	MZ572220	Homo sapiens	B.1.617.2	Older	Asia		Agarwal et al B				-18.59
IND/CWS_0034_49371804/2021	2021-05-22	5.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202120	MZ558116	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al D				
IND/CWS_0051_54738505/2021	2021-06-09	5.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202123	MZ558133	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al E				
IND/CWS_0049_54686884/2021	2021-06-08	5.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202123	MZ558131	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al F				
IND/CWS_0063_55770368/2021	2021-06-11	5.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202123	MZ558142	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al G				
BGD/IEDCR-OIS-0266/2021	2021-06-20	8.00	21A (Delta)	Bangladesh	0.00	Rangpur	B.1.617.2 (Delta)	202125	MZ481924	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al T				-18.59
BHR/342066574/2021	2021-05-15	7.00	21A (Delta)	Bahrain		Bahrain	B.1.617.2 (Delta)	202119	MZ496793	Homo sapiens	AY.21	Older	Asia		Alwasti et al G				
IND/hospital_3_259/2021	2021-04-29	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724539	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al B				
IND/hospital_3_258/2021	2021-04-29	8.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724538	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al C				
IND/GBRC739a/2021	2021-04-27	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ363892	Homo sapiens	B.1.617.2	Older	Asia		Soni et al C				
Switzerland/SO-ETHZ-650214/2021	2021-06-02	7.00	21A (Delta)	Switzerland		Solothurn	B.1.617.2 (Delta)	202122	OU540542	Homo sapiens	B.1.617.2	One week ago	Europe		? L				
MAR/CNRST-IND01/2021	2021-04-22	7.00	21A (Delta)	Morocco		Morocco	B.1.617.2 (Delta)	202116	MZ208926	Homo sapiens	B.1.617.2	Older	Africa		Melloul et al				
IND/hospital_3_255/2021	2021-04-27	8.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724536	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al D				
Switzerland/ZH-ETHZ-660364/2021	2021-06-10	7.00	21A (Delta)	Switzerland	0.00	Zürich	B.1.617.2 (Delta)	202123	OU352317	Homo sapiens	B.1.617.2	Older	Europe		? M				
UZB/hCoV-19-Uzb-CGB-10/2021	2021-07-23	7.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202129	MZ892621	Homo sapiens	B.1.617.2	One week ago	Asia		Ayubov et al B				-18.29
OU360437	2021-06-12	7.00	21A (Delta)	Germany	0.00	Bremen	B.1.617.2 (Delta)	202123	OU360437	Homo sapiens	B.1.617.2	Older	Europe		? C				
OU360810	2021-06-17	7.00	21A (Delta)	Germany	0.00	Niedersachsen	B.1.617.2 (Delta)	202124	OU360810	Homo sapiens	B.1.617.2	Older	Europe		? C				-18.29
IND/hospital_3_206/2021	2021-04-27	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724499	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al E				
BHR/921067336/2021	2021-06-25	7.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ642236	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al H				-18.29
IND/hospital_3_205/2021	2021-04-27	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724498	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al F				
BGD/IEDCR-180053/2021	2021-04-27	8.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202117	MZ413600	Homo sapiens	AY.10	Older	Asia		Afrad et al U				
IND/hospital_3_207/2021	2021-04-28	8.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ724500	Homo sapiens	B.1.617.2	One month ago	Asia		Kemp et al G				
BGD/IEDCR-OIS-163/2021	2021-05-30	5.00	21A (Delta)	Bangladesh		Chattogram	B.1.617.2 (Delta)	202122	MZ401465	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al V				
BGD/IEDCR-OIS-0016/2021	2021-05-12	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202119	MZ413606	Homo sapiens	AY.10	Older	Asia		Afrad et al W				
BGD/IEDCR-OIS-0015/2021	2021-05-12	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202119	MZ413605	Homo sapiens	AY.10	Older	Asia		Afrad et al X				
THA/AFRIMS-COV1956/2021	2021-07-11	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888546	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al A				-18.29
THA/AFRIMS-COV2136/2021	2021-07-13	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888549	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al B				-18.29
THA/AFRIMS-COV2228/2021	2021-07-14	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888551	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al C				-18.29
THA/AFRIMS-COV1365/2021	2021-06-24	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202125	MZ888532	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al D				-18.29
THA/AFRIMS-COV1904/2021	2021-07-11	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888545	Homo sapiens	AY.24	One week ago	Asia		Phutthasopit et al E				-18.29
THA/AFRIMS-COV1370/2021	2021-06-24	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202125	MZ888533	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al F				-18.29
THA/AFRIMS-COV1380/2021	2021-06-24	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202125	MZ888534	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al G				-18.29
THA/AFRIMS-COV1385/2021	2021-06-24	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202125	MZ888535	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al H				-18.29
THA/AFRIMS-COV1802/2021	2021-07-09	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202127	MZ888543	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al I				-18.29
THA/AFRIMS-COV2353/2021	2021-07-16	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888553	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al J				-18.29
THA/AFRIMS-COV2199/2021	2021-07-14	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888550	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al K				-18.29
THA/AFRIMS-COV2513/2021	2021-07-17	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888556	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al L				-18.29
THA/AFRIMS-COV1772/2021	2021-07-08	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202127	MZ888542	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al M				-18.29
THA/AFRIMS-COV2278/2021	2021-07-15	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888552	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al N				-18.29
THA/AFRIMS-COV2095/2021	2021-07-13	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202128	MZ888548	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al O				-18.29
THA/AFRIMS-COV1588/2021	2021-07-05	7.00	21A (Delta)	Thailand	0.00	Kamphaeng Phet	B.1.617.2 (Delta)	202127	MZ888540	Homo sapiens	B.1.617.2	One week ago	Asia		Phutthasopit et al P				-18.29
SLE/SL61/2021	2021-06-19	7.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854415	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al E				-18.29
SLE/SL57/2021	2021-06-18	7.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854411	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al F				-18.29
SLE/SL48/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854405	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al G				
SLE/SL54/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854410	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al H				
SLE/SL39/2021	2021-06-07	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854398	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al I				
SLE/SL65/2021	2021-06-14	7.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854418	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al J				-18.29
SLE/SL28/2021	2021-06-03	6.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202122	MZ854387	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al K				
SLE/SL36/2021	2021-06-07	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854395	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al L				
SLE/SL60/2021	2021-06-19	7.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854414	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al M				-18.29
SLE/SL46/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854403	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al N				
SLE/SL47/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854404	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al O				
SLE/SL59/2021	2021-06-19	7.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854413	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al P				-18.29
SLE/SL64/2021	2021-06-19	8.00	21A (Delta)	Sierra Leone	0.00	Sierra Leone	B.1.617.2 (Delta)	202124	MZ854417	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al Q				-18.29
SLE/SL41/2021	2021-06-07	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854399	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al R				
SLE/SL30/2021	2021-06-03	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202122	MZ854389	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al S				
SLE/SL31/2021	2021-06-07	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854390	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al T				
SLE/SL35/2021	2021-06-07	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854394	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al U				
SLE/SL25/2021	2021-06-03	8.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202122	MZ854386	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al V				
SLE/SL43/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854401	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al W				
SLE/SL49/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854406	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al X				
SLE/SL51/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854407	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al Y				
SLE/SL52/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854408	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al Z				
SLE/SL44/2021	2021-06-08	7.00	21A (Delta)	Sierra Leone		Sierra Leone	B.1.617.2 (Delta)	202123	MZ854402	Homo sapiens	B.1.617.2	One week ago	Africa		Wurie et al AA				
BGD/icddrb-CGH-CU-3643/2021	2021-06-28	8.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202126	MZ674376	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al D				-15.48
UZB/UZB-413/2021	2021-06-25	9.00	21A (Delta)	Uzbekistan	0.00	Bukhara Region	B.1.617.2 (Delta)	202125	MZ573394	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al C				-15.48
BGD/IEDCR-OIS-0182/2021	2021-06-07	7.00	21A (Delta)	Bangladesh		Chattogram	B.1.617.2 (Delta)	202123	MZ481912	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al Y				
BGD/icddrb-CMOSH-CU-2551741/2021	2021-06-27	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202126	MZ674377	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al E				-15.48
BGD/IEDCR-DJ-002/2021	2021-04-29	6.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202117	MZ377103	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al Z				
BGD/IEDCR-V-02/2021	2021-05-13	8.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413619	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AA				
BGD/IEDCR-OIS-255/2021	2021-06-21	8.00	21A (Delta)	Bangladesh	0.00	Sylhet	B.1.617.2 (Delta)	202125	MZ470858	Homo sapiens	AY.10	Older	Asia		Afrad et al AB				-15.48
BGD/IEDCR-OIS-0180/2021	2021-06-07	9.00	21A (Delta)	Bangladesh		Chattogram	B.1.617.2 (Delta)	202123	MZ481910	Homo sapiens	AY.10	Older	Asia		Afrad et al AC				
BHR/820002674/2021	2021-05-21	7.00	21A (Delta)	Bahrain		Bahrain	B.1.617.2 (Delta)	202120	MZ496738	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al I				
IND/RGCB-LMMD-7/2021	2021-06-01	4.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202122	MZ540875	Homo sapiens	B.1.617.2	One month ago	Asia		Seetha et al				
BGD/icddrb-CGH-CU-3698/2021	2021-06-13	8.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202124	MZ674362	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al F				
BGD/icddrb-CGH-CU-130441/2021	2021-07-01	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202126	MZ674371	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al G				-15.48
BGD/BCSIR-NILMRC-757/2021	2021-05-18	7.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202120	MZ437368	Homo sapiens	B.1.617.2	Older	Asia		Sarkar et al				
BGD/IEDCR-V-36/2021	2021-05-13	5.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413608	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AD				
BGD/icddrb-CMOSH-CU-255318/2021	2021-06-28	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202126	MZ674379	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al H				-15.48
BGD/IEDCR-V-10/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413625	Homo sapiens	AY.10	Older	Asia		Afrad et al AE				
BGD/IEDCR-V-06/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413622	Homo sapiens	AY.10	Older	Asia		Afrad et al AF				
BGD/IEDCR-OIS-101/2021	2021-05-27	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202121	MZ413613	Homo sapiens	AY.10	Older	Asia		Afrad et al AG				
BGD/icddrb-CMOSH-CU-0027/2021	2021-07-07	7.00	21A (Delta)	Bangladesh	0.00	Chattogram	B.1.617.2 (Delta)	202127	MZ674365	Homo sapiens	B.1.617.2	Older	Asia		Mannan et al I				-15.48
BHR/921226292/2021	2021-07-28	7.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202130	MZ769277	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al J				-15.48
BGD/IEDCR-V-16/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202119	MZ377107	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AH				
UZB/hCoV-19-Uzb-CGB-46/2021	2021-07-23	8.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202129	MZ892626	Homo sapiens	B.1.617.2	One week ago	Asia		Ayubov et al C				-15.48
UZB/UZB-397/2021	2021-06-25	7.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573390	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al D				-15.48
UZB/UZB-369/2021	2021-06-25	7.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573543	Homo sapiens	B.1.617.2	Older	Asia		Dalimova et al A				-15.48
BGD/IEDCR-V-18/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202119	MZ377115	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AI				
BGD/IEDCR-OIS-252/2021	2021-06-20	7.00	21A (Delta)	Bangladesh	0.00	Sylhet	B.1.617.2 (Delta)	202125	MZ470856	Homo sapiens	AY.10	Older	Asia		Afrad et al AJ				-15.48
BGD/IEDCR-V-20/2021	2021-05-17	7.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202120	MZ377108	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AK				
BGD/IEDCR-OIS-95/2021	2021-05-27	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202121	MZ413610	Homo sapiens	AY.10	Older	Asia		Afrad et al AL				
BGD/IEDCR-V-09/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413624	Homo sapiens	AY.10	Older	Asia		Afrad et al AM				
BGD/IEDCR-V-07/2021	2021-05-13	7.00	21A (Delta)	Bangladesh		Rajshahi	B.1.617.2 (Delta)	202119	MZ413623	Homo sapiens	AY.10	Older	Asia		Afrad et al AN				
BGD/IEDCR-OIS-0179/2021	2021-06-04	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202122	MZ481909	Homo sapiens	AY.10	Older	Asia		Afrad et al AO				
BGD/IEDCR-OIS-98/2021	2021-05-27	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202121	MZ413611	Homo sapiens	AY.10	Older	Asia		Afrad et al AP				
BGD/IEDCR-OIS-94/2021	2021-05-27	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202121	MZ413609	Homo sapiens	AY.10	Older	Asia		Afrad et al AQ				
BGD/IEDCR-OIS-0002/2021	2021-05-01	7.00	21A (Delta)	Bangladesh		Khulna	B.1.617.2 (Delta)	202117	MZ413604	Homo sapiens	AY.10	Older	Asia		Afrad et al AR				
BGD/JS004/2021	2021-04-28	6.00	21A (Delta)	Bangladesh		Barishal	B.1.617.2 (Delta)	202117	MZ413603	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AS				
BGD/IEDCR-OIS-0003/2021	2021-05-01	7.00	21A (Delta)	Bangladesh		Bangladesh	B.1.617.2 (Delta)	202117	MZ377104	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AT				
BGD/IEDCR-JS003/2021	2021-04-28	5.00	21A (Delta)	Bangladesh		Khulna	B.1.617.2 (Delta)	202117	MZ413602	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al AU				
BGD/IEDCR-OIS-113/2021	2021-05-28	7.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202121	MZ413617	Homo sapiens	AY.10	Older	Asia		Afrad et al AV				
